SetFilter	SetFilter	RangeFilter	RangeFilter	RangeFilter	SetFilter	SetFilter	SetFilter	SetFilter	SetFilter	RangeFilter	Unit	Value	Value	Value	Value	Value	Value	Value	Value
ObsName	ObsGroup	X[m]	Y[m]	Z[m]	ConductivityZone	Layer	GageType	GageMeasurement	Species	Time[day]	Unit	Calc.	Obs.	Residual	TargetResidual	NormalizedCalc.	NormalizedObs.	NormalizedResidual	NormalizedTargetResidual
2741/A	IrrigationSaltObs	455323.0735	4342945.421	-5.603173	1	3	None	Concentration	Chloride	730	mg/L	14.9988305692492	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2753/A	IrrigationSaltObs	456822.2385	4341470.586	-5.408768	1	3	None	Concentration	Chloride	730	mg/L	15.0036955323089	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2754/A	IrrigationSaltObs	456481.3873	4340994.578	-5.335289	1	2	None	Concentration	Chloride	730	mg/L	75.2894342342738	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2756/A	IrrigationSaltObs	457117.4575	4340123.048	-3.46957	1	3	None	Concentration	Chloride	730	mg/L	15.0003517037536	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2757/A	IrrigationSaltObs	459861.1556	4338952.498	-4.962679	1	3	None	Concentration	Chloride	730	mg/L	15.0006197011448	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2758/A	IrrigationSaltObs	459622.064	4339842.868	-4.234622	1	2	None	Concentration	Chloride	730	mg/L	15.0008654004326	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2759/A	IrrigationSaltObs	460640.4226	4339273.945	-5.886083	1	2	None	Concentration	Chloride	730	mg/L	229.019821679697	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2761/A	IrrigationSaltObs	461790.9104	4338160.1	-5.805945	1	3	None	Concentration	Chloride	730	mg/L	137.616778045995	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2762/A	IrrigationSaltObs	461252.7615	4338389.832	-5.546266	1	3	None	Concentration	Chloride	730	mg/L	18.8396455826593	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2799/A	IrrigationSaltObs	461453.5943	4327966.843	-4.132318	1	3	None	Concentration	Chloride	730	mg/L	15.3575207591471	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2800/A	IrrigationSaltObs	462215.393	4327836.282	-4.782386	1	3	None	Concentration	Chloride	730	mg/L	15.2098099757133	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2801/A	IrrigationSaltObs	461944.4383	4327896.807	-4.580469	1	3	None	Concentration	Chloride	730	mg/L	15.2604100592965	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2802/A	IrrigationSaltObs	462951.4224	4328592.888	-5.274344	1	3	None	Concentration	Chloride	730	mg/L	16.6613472806811	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2803/A	IrrigationSaltObs	462656.3017	4330977.702	-5.14265	1	2	None	Concentration	Chloride	730	mg/L	30.5087604787849	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2804/A	IrrigationSaltObs	463244.2566	4331072.577	-6.511713	1	3	None	Concentration	Chloride	730	mg/L	112.697717558674	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2805/A	IrrigationSaltObs	463071.7797	4331455.663	-5.996724	1	3	None	Concentration	Chloride	730	mg/L	121.393779243152	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2806/A	IrrigationSaltObs	462619.0904	4331433.266	-4.842101	1	3	None	Concentration	Chloride	730	mg/L	19.9771703052154	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2807/A	IrrigationSaltObs	458867.3429	4333675.066	-2.227407	1	3	None	Concentration	Chloride	730	mg/L	14.9999996647239	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2808/A	IrrigationSaltObs	460909.2767	4335705.763	-4.913079	1	3	None	Concentration	Chloride	730	mg/L	15.0078935032675	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2810/A	IrrigationSaltObs	458166.3758	4335507.286	-3.498417	1	3	None	Concentration	Chloride	730	mg/L	14.9999996647239	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2811/A	IrrigationSaltObs	459770.9228	4337221.377	-3.260187	1	3	None	Concentration	Chloride	730	mg/L	15.0002574744915	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
2812/A	IrrigationSaltObs	456459.49	4339918.444	-4.402609	1	3	None	Concentration	Chloride	730	mg/L	15.0038354475797	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
